t,dobrushin,row_hetero,RV_t,VIX_t
1161,0.031250356696546,0.0072350629909522,0.0002833434576693,22.54
1162,0.026301588397473,0.0061055754490121,0.0003011120825306,22.37
1163,0.0282542263157665,0.0064766468436328,0.000347444659715,22.03
1164,0.0222005224786698,0.0052430657437855,0.0003440373274452,23.27
1165,0.0308392369188368,0.0071477946220122,0.0002963910745504,24.47
1166,0.0274525927379727,0.0064017313077845,0.00030307446177,22.96
1167,0.0311070280149579,0.0072049299418073,0.0003116518428439,26.41
1168,0.0295856692828238,0.0068241321829834,0.0003583505557759,26.12
1169,0.0223524714820086,0.0052670532260529,0.0003262575961104,26.57
1170,0.0283723911270499,0.0065632740399402,0.0003230251977991,33.6
1171,0.0266085644252598,0.0062058767567228,0.0003230518227129,30.75
1172,0.0272928969934582,0.0063302696472416,0.0003629099000508,31.46
1173,0.021360988728702,0.0050097990103743,0.0003677146926035,28.81
1174,0.0263129756785929,0.0061164519677459,0.0003306158933895,29.71
1175,0.0253689675591886,0.0059085777549932,0.0003278041155124,26.87
1176,0.0279075615108013,0.0064556117643059,0.0003289818158553,25.85
1177,0.0308317290619015,0.0071187084772771,0.0003151561942437,25.59
1178,0.0305788265541195,0.0069865606850646,0.0003139615901642,26.04
1179,0.0286554410122334,0.0066654962183349,0.0002960859101075,26.46
1180,0.0299049061723053,0.0068979801710456,0.0002999384011254,25.83
1181,0.0298314956016838,0.0068910023824684,0.0002922204477287,27.78
1182,0.0267891529947519,0.0062168929600454,0.0003005597976263,26.86
1183,0.0277568763121962,0.0064319543484033,0.0002770715021181,28.58
1184,0.0235767015255987,0.0055121961491878,0.0002381918044046,28.51
1185,0.0273931524716317,0.0063447008448768,0.0002544821439173,26.38
1186,0.0281144306063652,0.0065062033595761,0.0002504867051905,26.19
1187,0.0262603987939655,0.0061088663692075,0.0002502921196608,26.27
1188,0.0272577595897018,0.0063137478474214,0.0002539643509554,26.37
1189,0.0225344900973141,0.0053016424586726,0.0002072079047643,26.7
1190,0.0257799378596246,0.0060008054517635,0.0002166513597074,27.63
1191,0.0269857719540596,0.0062499981292018,0.0002091261591962,27.96
1192,0.0268690432421863,0.0062427088342331,0.000224787013593,29.48
1193,0.0257953288964927,0.0060197995116413,0.0001725079253971,28.06
1194,0.028483239468187,0.0066128397743007,0.0001712739328124,26.36
1195,0.0269040972925722,0.0062627960228508,0.000200790213249,25.0
1196,0.0301442435011267,0.0069764755841858,0.0001996064029915,25.07
1197,0.0274239522404968,0.0063515616612201,0.0002422490691604,26.07
1198,0.0245606652460992,0.0057572533323206,0.0002319271232064,26.4
1199,0.0259331124834716,0.0060547771898132,0.0002701620564511,26.97
1200,0.022602941840887,0.0053336867949727,0.0002678379509535,27.41
1201,0.0269070849753916,0.0062501959389809,0.0002690998404113,29.18
1202,0.0267801247537136,0.0062140282989802,0.0002887506304784,29.35
1203,0.0284243347123265,0.0065822526329645,0.0003280824116743,28.65
1204,0.0287943370640277,0.0066482737434632,0.0003729766895774,28.11
1205,0.022049409803003,0.0052261101589961,0.000437151494166,27.55
1206,0.029677290469408,0.0068488029813274,0.0004301798137333,32.46
1207,0.0263540940359234,0.0061372920444316,0.0012870914548571,33.35
1208,0.0265198717825114,0.0058664829404366,0.0012911242909245,40.28
1209,0.0249912687577307,0.0058144447039373,0.0012882846221271,37.59
1210,0.0255943243391811,0.00596287461305,0.0012987489948457,38.02
1211,0.0233400063589215,0.0054751381027176,0.0012949637257581,37.13
1212,0.0290276780724525,0.0067194423227498,0.0013140481880046,35.55
1213,0.0285319671966135,0.0065538034363577,0.0012998720757925,29.57
1214,0.026278025470674,0.0061087938978866,0.0013108333118485,27.58
1215,0.0272775455377995,0.0063293808983381,0.001296745948448,24.86
1216,0.0293092695064842,0.006797962699098,0.0012676713271534,25.75
1217,0.0270825871266424,0.0062889538830779,0.0012928555214405,24.8
1218,0.0314213302917778,0.0072598076754748,0.0013098980663656,23.45
1219,0.0307089630514383,0.0070311157653729,0.0012889738723257,25.35
1220,0.0273118740878999,0.0063450533852783,0.0012282603841148,23.1
1221,0.0296251662075519,0.0068901044570586,0.0013003514527866,22.45
