n_bins,n_st,method,model,alpha,tau,val_LL,delta_val
40,40,quantile,backoff,0.0001,200.0,-3.697022615254471,-0.008352130754616827
40,40,quantile,backoff,0.0001,500.0,-3.6892178336431147,-0.0005473491432606004
40,40,quantile,backoff,0.0001,1000.0,-3.6883016644041215,0.00036882009573258046
40,40,quantile,backoff,0.001,10.0,-4.066122436291873,-0.37745195179201874
40,40,quantile,backoff,0.001,50.0,-3.7698531822654333,-0.08118269776557918
40,40,quantile,backoff,0.001,100.0,-3.718505698749015,-0.029835214249160913
40,40,quantile,backoff,0.001,200.0,-3.6970043197828346,-0.008333835282980484
40,40,quantile,backoff,0.001,500.0,-3.689215118733476,-0.0005446342336217214
40,40,quantile,backoff,0.001,1000.0,-3.6883013662557227,0.0003691182441314389
40,40,quantile,backoff,0.01,10.0,-4.054915601420315,-0.3662451169204606
40,40,quantile,backoff,0.01,50.0,-3.7682352387295177,-0.07956475422966358
40,40,quantile,backoff,0.01,100.0,-3.717920560498479,-0.029250075998624947
40,40,quantile,backoff,0.01,200.0,-3.696824135776732,-0.008153651276877838
40,40,quantile,backoff,0.01,500.0,-3.689188433423159,-0.0005179489233047008
40,40,quantile,backoff,0.01,1000.0,-3.6882984705078408,0.0003720139920133647
40,40,quantile,backoff,0.1,10.0,-3.969370834506644,-0.2807003500067897
40,40,quantile,backoff,0.1,50.0,-3.7544020098858786,-0.06573152538602445
40,40,quantile,backoff,0.1,100.0,-3.7128621531498216,-0.024191668649967468
40,40,quantile,backoff,0.1,200.0,-3.6952664125686208,-0.006595928068766632
40,40,quantile,backoff,0.1,500.0,-3.6889622282043195,-0.0002917437044653859
40,40,quantile,backoff,0.1,1000.0,-3.6882768731206332,0.00039361137922089284
40,40,quantile,backoff,1.0,10.0,-3.753281854518794,-0.06461137001893968
40,40,quantile,backoff,1.0,50.0,-3.7058740598886453,-0.017203575388791137
40,40,quantile,backoff,1.0,100.0,-3.6944971954848436,-0.005826710984989436
