h,N,N_actual,sigma,n_train,n_val,n_test,model,test_ll,delta_ll,val_ll,accuracy,severity,alpha,tau
1,55,55,1.0,1657,355,356,state_free_nn,-4.094151496887207,-0.08737493553547893,-3.9676947593688965,0.028089888393878937,12.997377395629883,,
2,10,10,0.19188228186972364,1656,355,356,marginal,-2.302786256754097,0.0,-2.3029978668277327,0.07865168539325842,,,
2,10,10,0.19188228186972364,1656,355,356,additive,-1.9841950386706706,0.3185912180834263,-2.044683958738204,0.2893258426966292,1.8133015894765692,1.0,
2,10,10,0.19188228186972364,1656,355,356,backoff,-1.9842697552509572,0.3185165015031397,-2.044804342670287,0.2808988764044944,1.8132677515853477,1e-06,10.0
2,10,10,0.19188228186972364,1656,355,356,state_cond_nn,-2.314258098602295,-0.01147184184819805,-2.2734203338623047,0.11516854166984558,2.489018201828003,,
2,10,10,0.19188228186972364,1656,355,356,state_free_nn,-2.3040943145751953,-0.0013080578210984406,-2.283477306365967,0.12921348214149475,2.4817349910736084,,
2,20,20,0.3659893255038303,1656,355,356,marginal,-2.9959753308095927,0.0,-2.995880377933202,0.047752808988764044,,,
2,20,20,0.3659893255038303,1656,355,356,additive,-2.7621386313721756,0.23383669943741703,-2.7961208636698314,0.1601123595505618,3.835335977087464,1.0,
2,20,20,0.3659893255038303,1656,355,356,backoff,-2.7672203744067376,0.22875495640285504,-2.805654564604354,0.16292134831460675,3.66744985945503,0.1,10.0
2,20,20,0.3659893255038303,1656,355,356,state_cond_nn,-2.9981706142425537,-0.0021952834329610482,-2.9976210594177246,0.05056179687380791,5.006932735443115,,
2,20,20,0.3659893255038303,1656,355,356,state_free_nn,-3.021009922027588,-0.025034591217995228,-2.971330404281616,0.05898876488208771,4.942823886871338,,
2,35,35,0.6280203967385274,1656,355,356,marginal,-3.5548565898140336,0.0,-3.5552515701574743,0.03651685393258427,,,
2,35,35,0.6280203967385274,1656,355,356,additive,-3.405120061486228,0.14973652832780582,-3.427809673385856,0.08146067415730338,7.113301773133233,1.0,
2,35,35,0.6280203967385274,1656,355,356,backoff,-3.4029976497024115,0.15185894011162215,-3.4246900785123846,0.08146067415730338,7.394663546399509,1e-06,50.0
2,35,35,0.6280203967385274,1656,355,356,state_cond_nn,-3.575408697128296,-0.02055210731426227,-3.5339462757110596,0.028089888393878937,8.658509254455566,,
2,35,35,0.6280203967385274,1656,355,356,state_free_nn,-3.628434181213379,-0.07357759139934528,-3.5326387882232666,0.028089888393878937,8.570276260375977,,
2,55,55,1.0,1656,355,356,marginal,-4.0065413039776,0.0,-4.007544872309646,0.02247191011235955,,,
2,55,55,1.0,1656,355,356,additive,-3.8437726435106803,0.16276866046691962,-3.9096226056715095,0.056179775280898875,11.749397854255369,1.0,
2,55,55,1.0,1656,355,356,backoff,-3.8464237826321828,0.16011752134541712,-3.9068846927630814,0.05898876404494382,11.942395955311902,0.1,50.0
2,55,55,1.0,1656,355,356,state_cond_nn,-4.099170684814453,-0.09262938083685324,-3.9556407928466797,0.01123595517128706,13.395561218261719,,
2,55,55,1.0,1656,355,356,state_free_nn,-4.076437473297119,-0.06989616931951925,-3.9857916831970215,0.02247191034257412,13.648058891296387,,
5,10,10,0.20246451585305195,1654,355,355,marginal,-2.3025723552973996,0.0,-2.302912767345405,0.08732394366197183,,,
5,10,10,0.20246451585305195,1654,355,355,additive,-2.2434536379827152,0.05911871731468432,-2.268731237500393,0.18028169014084508,2.3861592865522563,5.0,
5,10,10,0.20246451585305195,1654,355,355,backoff,-2.2441010335704243,0.05847132172697522,-2.2689527397926996,0.18028169014084508,2.390613074623555,0.1,50.0
5,10,10,0.20246451585305195,1654,355,355,state_cond_nn,-2.3261730670928955,-0.023600711795495943,-2.2823517322540283,0.1267605572938919,2.443310022354126,,
5,10,10,0.20246451585305195,1654,355,355,state_free_nn,-2.36006236076355,-0.05749000546615024,-2.2612247467041016,0.0676056370139122,2.5473475456237793,,
5,20,20,0.39471975172953594,1654,355,355,marginal,-2.995252378215292,0.0,-2.995832837617366,0.059154929577464786,,,
5,20,20,0.39471975172953594,1654,355,355,additive,-2.9510631772238587,0.04418920099143353,-2.962960165919296,0.07605633802816901,4.89065727378972,5.0,
5,20,20,0.39471975172953594,1654,355,355,backoff,-2.9507015730323203,0.04455080518297194,-2.963097381490505,0.07605633802816901,4.890657393372432,1e-06,100.0
5,20,20,0.39471975172953594,1654,355,355,state_cond_nn,-3.082260847091675,-0.08700846887638258,-2.9783577919006348,0.06478872895240784,4.987973213195801,,
5,20,20,0.39471975172953594,1654,355,355,state_free_nn,-3.066462755203247,-0.07121037698795485,-2.960493803024292,0.07042253762483597,5.017353057861328,,
5,35,35,0.6093597035247571,1654,355,355,marginal,-3.554695470149658,0.0,-3.5545768594349183,0.04788732394366197,,,
5,35,35,0.6093597035247571,1654,355,355,additive,-3.5232561095309647,0.031439360618693346,-3.5216962471520064,0.028169014084507043,8.653808786237411,5.0,
