date,sigma_t_w5,X_t_vol_w5,sigma_t_w10,X_t_vol_w10,sigma_t_w21,X_t_vol_w21
2010-09-28,0.015368992838011698,28,0.01716877593823432,30,0.020586611167625963,34
2010-09-29,0.015121019853733098,27,0.016961129371386642,29,0.020253856456816346,34
2010-09-30,0.013324772730944042,24,0.01681582390319507,29,0.02027524877958358,34
2010-10-01,0.014579356376230567,26,0.017809305796739564,31,0.019026661322844477,31
2010-10-04,0.01309434469094004,23,0.014386056938311402,24,0.018906832913330604,31
2010-10-05,0.015208688538073627,28,0.015684591670575156,27,0.018410683091064896,30
2010-10-06,0.011674119450413963,19,0.01509776728630458,25,0.01763847494528764,29
2010-10-07,0.011822768705365277,20,0.013689260986562224,22,0.0172016903915893,29
2010-10-08,0.010662627231204383,16,0.012643157709210796,19,0.01629826566837154,27
2010-10-11,0.011280149000572861,18,0.011776735430762892,17,0.016384327511427713,27
2010-10-12,0.011025421254731127,17,0.012523776296278273,19,0.014953525933217407,24
2010-10-13,0.013316862829247175,24,0.01252337948141982,19,0.015104276668464704,24
2010-10-14,0.01824347694790777,33,0.015721623693362226,27,0.016111164341768104,27
2010-10-15,0.024600210483853604,42,0.01925870462523267,33,0.018091701029468964,30
2010-10-18,0.029283621705432278,45,0.021781441991999,37,0.018930007834132224,31
2010-10-19,0.025929988374592934,43,0.020897832046908933,36,0.01773907013244902,29
2010-10-20,0.028117106186092162,44,0.021201887883712904,36,0.017854822658860726,29
2010-10-21,0.026087268283947713,43,0.02123027754425883,36,0.017691447352430043,29
2010-10-22,0.017021099383437654,31,0.02127408553044714,37,0.0171835821300354,29
2010-10-25,0.01128991904666371,18,0.020938847376227865,36,0.01695098190871528,28
2010-10-26,0.011036487338726647,17,0.01965480078219871,34,0.016707805735122205,28
2010-10-27,0.010522524161112348,16,0.020235564900087332,35,0.016886709391534815,28
2010-10-28,0.00963062053046328,13,0.01866297433294231,32,0.016652013012924245,28
2010-10-29,0.009815886102770678,14,0.013220484608031813,21,0.01656847710173877,28
2010-11-01,0.005475620405408404,3,0.009327596187471508,10,0.015940466396847385,26
2010-11-02,0.008195187894832527,9,0.009189810518073065,9,0.016057281213611177,27
2010-11-03,0.012356977249611491,21,0.011016624825571504,15,0.01624630209581012,27
2010-11-04,0.02697739550205109,44,0.02032056580355048,35,0.020471150953989294,34
2010-11-05,0.02725198348228873,44,0.02142934532918866,37,0.021255265498653333,35
2010-11-08,0.028351721182621973,45,0.020695852038577836,36,0.02137311763660596,35
2010-11-09,0.029067083093561295,45,0.022042374474685288,38,0.021566329617544983,36
2010-11-10,0.028984722568409803,45,0.02230573098130966,38,0.02161284653242442,36
2010-11-11,0.0205744027002734,37,0.023341151095073835,39,0.021643915152279317,36
2010-11-12,0.013911880413312445,25,0.02394699003667341,40,0.020800294001218918,35
2010-11-15,0.015776944597150434,29,0.023692743093264988,40,0.01855265844017953,30
2010-11-16,0.015147109152214839,28,0.023641754639061253,40,0.01795701147859529,29
2010-11-17,0.010769553613757416,17,0.023755362792700973,40,0.017859201405763192,29
2010-11-18,0.012609814743345094,22,0.016165649152763494,28,0.017895813200264475,29
2010-11-19,0.012056457956746907,20,0.012616884876464665,19,0.01777156628641671,29
