h,N,model,test_ll,nll_model,H_irr,H_marginal,MIR
10,35,additive,-3.550941905064145,3.550941905064145,2.9129631841625594,3.555320651119428,-0.2190136574228611
10,35,backoff,-3.550936875758885,3.550936875758885,2.9129631841625594,3.555320651119428,-0.21901193089734677
10,35,marginal,-3.5546469702069574,3.5546469702069574,2.9129631841625594,3.555320651119428,-0.2202855805157984
10,35,state_cond_nn,-3.6168274879455566,3.6168274879455566,2.9129631841625594,3.555320651119428,-0.24163171975870662
10,35,state_free_nn,-3.565214872360229,3.565214872360229,2.9129631841625594,3.555320651119428,-0.22391346781994564
10,55,additive,-4.001537459180592,4.001537459180592,3.08926598601312,4.007333185232471,-0.2953036343577563
10,55,backoff,-4.000823629715106,4.000823629715106,3.08926598601312,4.007333185232471,-0.2950725666967916
10,55,marginal,-4.007938511924792,4.007938511924792,3.08926598601312,4.007333185232471,-0.2973756646630718
10,55,state_cond_nn,-3.982599496841431,3.982599496841431,3.08926598601312,4.007333185232471,-0.2891733877474275
10,55,state_free_nn,-3.9922006130218506,3.9922006130218506,3.08926598601312,4.007333185232471,-0.2922812833523671
